iter_0000010	iter_0000050	iter_0000100	iter_0000500	iter_0001000	iter_0005000	iter_0010000	iter_0050000	iter_0100000
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02
m	0.00	0.00	0.00	0.00	0.01	0.01	0.02	0.02
m	0.18	0.00	0.00	0.00	0.01	0.01	0.01	0.02
m	0.17	0.00	0.00	0.00	0.01	0.01	0.01	0.02
m	0.09	0.00	0.00	0.00	0.01	0.01	0.01	0.02
m	0.05	0.00	0.00	0.00	0.01	0.01	0.01	0.02
m	0.04	0.00	0.00	0.00	0.01	0.01	0.01	0.02
m	0.02	0.00	0.20	0.20	0.21	0.21	0.21	0.21
m	0.02	0.00	0.20	0.20	0.20	0.20	0.20	0.20
m	0.00	0.00	0.18	0.18	0.18	0.19	0.19	0.19
m	0.00	0.00	0.14	0.16	0.17	0.17	0.17	0.17
m	0.00	0.00	0.09	0.16	0.17	0.13	0.16	0.15
m	0.00	0.00	0.09	0.14	0.15	0.12	0.13	0.13
m	0.00	0.00	0.09	0.10	0.13	0.11	0.13	0.13
m	0.00	0.00	0.07	0.09	0.11	0.11	0.12	0.12
m	0.00	0.00	0.05	0.04	0.07	0.10	0.09	0.11
m	0.00	0.00	0.03	0.03	0.06	0.09	0.09	0.11
m	0.00	0.00	0.03	0.03	0.05	0.09	0.07	0.10
m	0.00	0.00	0.03	0.03	0.05	0.05	0.07	0.08
m	0.00	0.00	0.02	0.02	0.04	0.05	0.07	0.08
m	0.00	0.00	0.02	0.02	0.04	0.05	0.07	0.07
m	0.00	0.00	0.01	0.02	0.04	0.04	0.06	0.06
m	0.00	0.00	0.01	0.02	0.04	0.04	0.06	0.06
m	0.00	0.00	0.01	0.02	0.04	0.04	0.05	0.06
m	m	0.00	0.01	0.02	0.03	0.04	0.05	0.05
m	m	0.00	0.01	0.01	0.03	0.04	0.05	0.05
m	m	0.00	0.00	0.01	0.02	0.03	0.05	0.05
m	m	0.00	0.00	0.01	0.02	0.03	0.04	0.05
m	m	0.00	0.00	0.01	0.02	0.03	0.04	0.04
m	m	0.00	0.00	0.01	0.02	0.03	0.04	0.04
m	m	0.00	0.00	0.01	0.02	0.02	0.04	0.04
m	m	0.00	0.00	0.01	0.02	0.02	0.04	0.03
m	m	0.00	0.00	0.01	0.02	0.02	0.03	0.03
