MW	Sv	Se	Mi	nAT	nSK	nBT	nBM	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nS	nCL	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	nCIC	nR03	nR04	nR05	nR06	nR07	ARR	nCp	nCs	nCt	nCq	nCrs	nCrt	nCrq	nCar	nCbH	nCb-	nCconj	nR=Cp	nR=Cs	nR=Ct	nR#C-	nRCOOH	nRCOOR	nArCOOR	nRCHO	nArCHO	nRCO	nArCO	nArNH2	nArNHR	nRCN	nArNO2	nROH	nArOH	nOHp	nOHs	nOHt	nROR	nArOR	nSH	nOxiranes	nOxolanes	nFuranes	nPyridines	nHDon	nHAcc	Uc	Ui	Hy	TPSA(Tot)	MLOGP	SAtot
192.28	17.644	29.723	1.125	30	14	30	7	6	1	0	6	16	12	0	2	0	0	0	2	0	53.3	40.0	0.0	6.7	0.0	5	7	0	1	0	0	0	1	0	0.429	1	3	0	0	0	0	0	6	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.0	2.322	-0.835	26.3	2.959	303.262
206.31	19.171	32.607	1.126	33	15	33	7	6	1	0	6	18	13	0	2	0	0	0	2	0	54.5	39.4	0.0	6.1	0.0	6	7	0	1	0	0	0	1	0	0.4	2	2	1	0	0	0	0	6	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.0	2.322	-0.846	26.3	3.23	333.095
122.18	11.349	18.745	1.12	19	9	19	6	2	0	0	6	10	8	0	1	0	0	0	1	0	52.6	42.1	0.0	5.3	0.0	2	6	0	1	0	0	0	1	0	0.667	1	0	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2.807	2.0	-0.848	9.23	2.193	194.753
134.19	12.349	19.745	1.114	20	10	20	7	2	1	0	6	10	9	0	1	0	0	0	1	0	50.0	45.0	0.0	5.0	0.0	2	7	0	1	0	0	0	1	0	0.6	1	1	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.0	2.322	-0.864	17.07	2.152	209.916
150.24	14.402	24.513	1.125	25	11	25	6	3	0	0	6	14	10	0	1	0	0	0	1	0	56.0	40.0	0.0	4.0	0.0	4	6	0	1	0	0	0	1	0	0.545	1	2	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2.807	2.0	-0.877	9.23	2.813	246.907
142.22	13.117	23.84	1.139	24	10	24	1	3	1	0	0	14	8	0	2	0	0	0	2	0	58.3	33.3	0.0	8.3	0.0	7	1	0	1	0	0	1	0	0	0.0	1	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.768	26.3	1.668	229.629
134.19	12.349	19.745	1.114	20	10	20	7	3	1	0	6	10	9	0	1	0	0	0	1	0	50.0	45.0	0.0	5.0	0.0	2	7	0	1	0	0	0	1	0	0.6	0	2	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.0	2.322	-0.864	17.07	2.152	209.916
136.16	11.537	18.189	1.116	18	10	18	7	3	1	0	6	8	8	0	2	0	0	0	2	0	44.4	44.4	0.0	11.1	0.0	1	7	0	1	0	0	0	1	0	0.6	0	0	0	0	0	0	0	6	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.0	2.322	-0.768	26.3	1.766	198.955
156.25	14.644	26.723	1.139	27	11	27	1	4	1	0	0	16	9	0	2	0	0	0	2	0	59.3	33.3	0.0	7.4	0.0	8	1	0	1	0	0	1	0	0	0.0	1	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.79	26.3	1.985	255.706
150.19	13.064	21.073	1.119	21	11	21	7	4	1	0	6	10	9	0	2	0	0	0	2	0	47.6	42.9	0.0	9.5	0.0	2	7	0	1	0	0	0	1	0	0.545	0	1	0	0	0	0	0	6	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.0	2.322	-0.79	26.3	2.083	225.032
130.26	13.456	26.28	1.146	27	9	26	0	5	0	0	0	18	8	0	1	0	0	0	1	0	66.7	29.6	0.0	3.7	0.0	8	0	0	0	0	0	0	0	0	0.0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	-0.213	20.23	2.274	270.581
120.16	10.822	16.862	1.11	17	9	17	7	1	1	0	6	8	8	0	1	0	0	0	1	0	47.1	47.1	0.0	5.9	0.0	1	7	0	1	0	0	0	1	0	0.667	1	0	0	0	0	0	0	6	4	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.0	2.322	-0.848	17.07	2.102	183.839
122.18	11.349	18.745	1.12	19	9	19	6	1	0	0	6	10	8	0	1	0	0	0	1	0	52.6	42.1	0.0	5.3	0.0	2	6	0	1	0	0	0	1	0	0.667	1	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2.807	2.0	-0.848	9.23	2.193	194.753
138.18	12.064	20.073	1.125	20	10	20	6	2	0	0	6	10	8	0	2	0	0	0	2	0	50.0	40.0	0.0	10.0	0.0	2	6	0	1	0	0	0	1	0	0.6	1	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	2	2.807	2.0	-0.161	29.46	1.312	216.84
128.19	11.59	20.956	1.139	21	9	21	1	2	1	0	0	12	7	0	2	0	0	0	2	0	57.1	33.3	0.0	9.5	0.0	6	1	0	1	0	0	1	0	0	0.0	1	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.742	26.3	1.335	203.553
102.15	9.064	17.073	1.147	17	7	16	1	3	1	0	0	10	5	0	2	0	0	0	2	0	58.8	29.4	0.0	11.8	0.0	4	1	0	0	0	0	0	0	0	0.0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.668	26.3	0.996	185.824
122.56	8.364	14.513	1.145	14	7	13	1	2	1	0	0	7	4	0	2	0	1	1	3	1	50.0	28.6	0.0	14.3	7.1	3	1	0	0	0	0	0	0	0	0.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.535	26.3	0.996	181.15
116.18	10.59	19.956	1.146	20	8	19	1	3	1	0	0	12	6	0	2	0	0	0	2	0	60.0	30.0	0.0	10.0	0.0	5	1	0	0	0	0	0	0	0	0.0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1.0	1.0	-0.039	37.3	1.373	220.94
116.13	9.252	16.516	1.143	16	8	15	2	3	2	0	0	8	5	0	3	0	0	0	3	0	50.0	31.3	0.0	18.8	0.0	3	2	0	0	0	0	0	0	0	0.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.585	1.585	-0.591	43.37	0.052	190.026
160.19	13.02	23.611	1.145	23	11	22	2	6	2	0	0	12	7	0	4	0	0	0	4	0	52.2	30.4	0.0	17.4	0.0	5	2	0	0	0	0	0	0	0	0.0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.585	1.585	-0.614	52.6	0.787	257.295
116.18	10.59	19.956	1.146	20	8	19	1	4	1	0	0	12	6	0	2	0	0	0	2	0	60.0	30.0	0.0	10.0	0.0	5	1	0	0	0	0	0	0	0	0.0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.71	26.3	1.373	211.901
130.21	12.117	22.84	1.145	23	9	22	1	5	1	0	0	14	7	0	2	0	0	0	2	0	60.9	30.4	0.0	8.7	0.0	6	1	0	0	0	0	0	0	0	0.0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.742	26.3	1.727	237.978
144.24	13.644	25.723	1.144	26	10	25	1	5	1	0	0	16	8	0	2	0	0	0	2	0	61.5	30.8	0.0	7.7	0.0	7	1	0	0	0	0	0	0	0	0.0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.768	26.3	2.06	267.811
172.3	16.698	31.491	1.143	32	12	31	1	7	1	0	0	20	10	0	2	0	0	0	2	0	62.5	31.3	0.0	6.3	0.0	9	1	0	0	0	0	0	0	0	0.0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.807	26.3	2.681	319.964
184.31	17.698	32.491	1.139	33	13	32	2	7	2	0	0	20	11	0	2	0	0	0	2	0	60.6	33.3	0.0	6.1	0.0	8	3	0	0	0	0	0	0	0	0.0	3	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.585	1.585	-0.822	26.3	2.865	336.382
212.37	20.751	38.258	1.138	39	15	38	2	9	2	0	0	24	13	0	2	0	0	0	2	0	61.5	33.3	0.0	5.1	0.0	10	3	0	0	0	0	0	0	0	0.0	3	5	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.585	1.585	-0.846	26.3	3.418	388.536
158.32	16.51	32.047	1.145	33	11	32	0	6	0	0	0	22	10	0	1	0	0	0	1	0	66.7	30.3	0.0	3.0	0.0	10	0	0	0	0	0	0	0	0	0.0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	-0.294	20.23	2.894	326.49
156.3	15.983	30.163	1.141	31	11	30	1	5	1	0	0	20	10	0	1	0	0	0	1	0	64.5	32.3	0.0	3.2	0.0	8	2	0	0	0	0	0	0	0	0.0	4	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1.0	1.0	-0.294	20.23	2.749	313.075
154.28	15.456	28.28	1.136	29	11	28	2	5	2	0	0	18	10	0	1	0	0	0	1	0	62.1	34.5	0.0	3.4	0.0	7	3	0	0	0	0	0	0	0	0.0	3	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.585	1.585	-0.877	17.07	2.642	295.19
158.27	15.171	28.607	1.143	29	11	28	1	7	1	0	0	18	9	0	2	0	0	0	2	0	62.1	31.0	0.0	6.9	0.0	8	1	0	0	0	0	0	0	0	0.0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.79	26.3	2.377	290.131
172.3	16.698	31.491	1.143	32	12	31	1	8	1	0	0	20	10	0	2	0	0	0	2	0	62.5	31.3	0.0	6.3	0.0	9	1	0	0	0	0	0	0	0	0.0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.807	26.3	3.593	316.208
228.42	22.805	43.025	1.142	44	16	43	1	12	1	0	0	28	14	0	2	0	0	0	2	0	63.6	31.8	0.0	4.5	0.0	13	1	0	0	0	0	0	0	0	0.0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.856	26.3	4.701	420.515
114.21	11.402	21.513	1.142	22	8	21	1	4	1	0	0	14	7	0	1	0	0	0	1	0	63.6	31.8	0.0	4.5	0.0	6	1	0	0	0	0	0	0	0	0.0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1.0	-0.828	17.07	1.795	222.862
116.18	10.59	19.956	1.146	20	8	19	1	4	1	0	0	12	6	0	2	0	0	0	2	0	60.0	30.0	0.0	10.0	0.0	5	1	0	0	0	0	0	0	0	0.0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.71	26.3	1.373	211.901
146.16	11.493	20.727	1.146	20	10	19	2	5	2	0	0	10	6	0	4	0	0	0	4	0	50.0	30.0	0.0	20.0	0.0	4	2	0	0	0	0	0	0	0	0.0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.585	1.585	-0.576	52.6	0.434	231.218
130.21	12.117	22.84	1.145	23	9	22	1	5	1	0	0	14	7	0	2	0	0	0	2	0	60.9	30.4	0.0	8.7	0.0	6	1	0	0	0	0	0	0	0	0.0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.742	26.3	1.727	237.978
144.24	13.644	25.723	1.144	26	10	25	1	6	1	0	0	16	8	0	2	0	0	0	2	0	61.5	30.8	0.0	7.7	0.0	7	1	0	0	0	0	0	0	0	0.0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.768	26.3	2.06	264.055
230.34	20.654	38.029	1.142	38	16	37	2	11	2	0	0	22	12	0	4	0	0	0	4	0	57.9	31.6	0.0	10.5	0.0	10	2	0	0	0	0	0	0	0	0.0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.585	1.585	-0.734	52.6	2.314	387.679
58.14	6.634	13.418	1.148	14	4	13	0	1	0	0	0	10	4	0	0	0	0	0	0	0	71.4	28.6	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	0.0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.861	0.0	2.729	140.43
76.18	6.294	11.611	1.132	12	4	11	0	1	0	0	0	8	3	0	0	1	0	1	1	0	66.7	25.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	0.0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	0.0	0.323	38.8	1.364	144.039
56.07	4.768	8.095	1.13	8	4	7	1	0	0	1	0	4	3	0	1	0	0	0	1	0	50.0	37.5	0.0	12.5	0.0	1	0	2	0	0	0	0	0	0	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1.0	1.585	0.323	20.23	0.202	118.348
60.06	4.483	8.422	1.156	8	4	7	1	1	1	0	0	4	2	0	2	0	0	0	2	0	50.0	25.0	0.0	25.0	0.0	1	1	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.431	26.3	-0.386	107.594
174.32	17.224	33.374	1.147	34	12	33	0	6	0	0	0	22	10	0	2	0	0	0	2	0	64.7	29.4	0.0	5.9	0.0	10	0	0	0	0	0	0	0	0	0.0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	2	2	0.0	0.0	0.509	40.46	2.014	354.868
172.3	16.698	31.491	1.143	32	12	31	1	6	1	0	0	20	10	0	2	0	0	0	2	0	62.5	31.3	0.0	6.3	0.0	9	1	0	0	0	0	0	0	0	0.0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	1.0	1.0	-0.244	37.3	1.869	339.517
86.15	8.349	15.745	1.143	16	6	15	1	2	1	0	0	10	5	0	1	0	0	0	1	0	62.5	31.3	0.0	6.3	0.0	4	1	0	0	0	0	0	0	0	0.0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1.0	-0.767	17.07	1.064	170.709
86.1	7.01	12.305	1.139	12	6	11	2	2	2	0	0	6	4	0	2	0	0	0	2	0	50.0	33.3	0.0	16.7	0.0	1	3	0	0	0	0	0	0	0	0.0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.585	1.585	-0.614	26.3	0.479	150.089
100.18	9.876	18.629	1.142	19	7	18	1	2	1	0	0	12	6	0	1	0	0	0	1	0	63.2	31.6	0.0	5.3	0.0	5	1	0	0	0	0	0	0	0	0.0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1.0	-0.802	17.07	1.442	200.542
102.2	10.402	20.513	1.148	21	7	20	0	2	0	0	0	14	6	0	1	0	0	0	1	0	66.7	28.6	0.0	4.8	0.0	6	0	0	0	0	0	0	0	0	0.0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0.0	0.0	-0.088	20.23	1.587	224.718
102.2	10.402	20.513	1.148	21	7	20	0	2	0	0	0	14	6	0	1	0	0	0	1	0	66.7	28.6	0.0	4.8	0.0	6	0	0	0	0	0	0	0	0	0.0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	-0.802	9.23	1.587	211.096
102.15	9.064	17.073	1.147	17	7	16	1	2	1	0	0	10	5	0	2	0	0	0	2	0	58.8	29.4	0.0	11.8	0.0	4	1	0	0	0	0	0	0	0	0.0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.668	26.3	0.996	187.523
100.13	8.537	15.189	1.139	15	7	15	1	0	1	0	0	8	5	0	2	0	0	0	2	0	53.3	33.3	0.0	13.3	0.0	4	1	0	1	0	0	1	0	0	0.0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.668	26.3	0.604	151.399
107.17	10.129	16.636	1.127	17	8	17	6	0	0	0	6	9	7	1	0	0	0	0	1	0	52.9	41.2	5.9	0.0	0.0	2	5	0	1	0	0	0	1	0	0.75	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2.807	2.0	-0.828	12.89	1.199	174.318
107.17	10.129	16.636	1.127	17	8	17	6	0	0	0	6	9	7	1	0	0	0	0	1	0	52.9	41.2	5.9	0.0	0.0	2	5	0	1	0	0	0	1	0	0.75	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2.807	2.0	-0.828	12.89	1.199	174.318
194.2	15.493	24.727	1.121	24	14	24	8	4	2	0	6	10	10	0	4	0	0	0	4	0	41.7	41.7	0.0	16.7	0.0	2	8	0	1	0	0	0	1	0	0.429	2	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3.17	2.585	-0.696	52.6	2.005	270.426
132.13	9.966	17.844	1.147	17	9	16	2	4	2	0	0	8	5	0	4	0	0	0	4	0	47.1	29.4	0.0	23.5	0.0	3	2	0	0	0	0	0	0	0	0.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.585	1.585	-0.53	52.6	0.057	205.142
130.21	12.117	22.84	1.145	23	9	22	1	4	1	0	0	14	7	0	2	0	0	0	2	0	60.9	30.4	0.0	8.7	0.0	6	1	0	0	0	0	0	0	0	0.0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.742	26.3	1.727	241.734
120.21	12.161	20.302	1.119	21	9	21	6	0	0	0	6	12	9	0	0	0	0	0	0	0	57.1	42.9	0.0	0.0	0.0	3	6	0	1	0	0	0	1	0	0.667	3	0	0	0	0	0	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.807	2.0	-0.954	0.0	3.259	205.714
142.27	14.456	27.28	1.141	28	10	27	1	4	1	0	0	18	9	0	1	0	0	0	1	0	64.3	32.1	0.0	3.6	0.0	8	1	0	0	0	0	0	0	0	0.0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1.0	-0.864	17.07	2.446	282.528
144.24	13.644	25.723	1.144	26	10	25	1	4	1	0	0	16	8	0	2	0	0	0	2	0	61.5	30.8	0.0	7.7	0.0	7	1	0	0	0	0	0	0	0	0.0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.768	26.3	2.06	269.509
99.2	10.182	19.403	1.149	20	7	20	0	0	0	0	0	13	6	1	0	0	0	0	1	0	65.0	30.0	5.0	0.0	0.0	6	0	0	1	0	0	0	1	0	0.0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0.0	0.0	0.85	26.02	1.195	175.052
100.18	9.876	18.629	1.142	19	7	19	0	0	0	0	0	12	6	0	1	0	0	0	1	0	63.2	31.6	0.0	5.3	0.0	6	0	0	1	0	0	0	1	0	0.0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0.0	0.0	-0.088	20.23	1.195	184.838
98.16	9.349	16.745	1.134	17	7	17	1	0	1	0	0	10	6	0	1	0	0	0	1	0	58.8	35.3	0.0	5.9	0.0	5	1	0	1	0	0	0	1	0	0.0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1.0	-0.802	17.07	1.05	160.662
96.09	7.483	11.422	1.114	11	7	11	3	0	3	0	0	4	5	0	2	0	0	0	2	0	36.4	45.5	0.0	18.2	0.0	0	5	0	1	0	0	0	1	0	0.0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2.0	2.0	-0.668	30.21	-0.145	130.383
158.27	15.171	28.607	1.143	29	11	28	1	6	1	0	0	18	9	0	2	0	0	0	2	0	62.1	31.0	0.0	6.9	0.0	8	1	0	0	0	0	0	0	0	0.0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.79	26.3	2.377	293.888
144.24	13.644	25.723	1.144	26	10	25	1	6	1	0	0	16	8	0	2	0	0	0	2	0	61.5	30.8	0.0	7.7	0.0	7	1	0	0	0	0	0	0	0	0.0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.768	26.3	2.06	264.055
254.46	25.332	46.909	1.138	48	18	48	1	0	1	0	0	30	16	0	2	0	0	0	2	0	62.5	33.3	0.0	4.2	0.0	15	1	0	1	0	0	0	0	0	0.0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.873	26.3	3.902	436.545
314.52	29.815	55.33	1.141	56	22	55	2	17	2	0	0	34	18	0	4	0	0	0	4	0	60.7	32.1	0.0	7.1	0.0	16	2	0	0	0	0	0	0	0	0.0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.585	1.585	-0.807	52.6	3.836	544.139
102.15	9.064	17.073	1.147	17	7	16	1	3	1	0	0	10	5	0	2	0	0	0	2	0	58.8	29.4	0.0	11.8	0.0	4	1	0	0	0	0	0	0	0	0.0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1.0	1.0	0.046	37.3	0.996	191.107
102.15	9.064	17.073	1.147	17	7	16	1	3	1	0	0	10	5	0	2	0	0	0	2	0	58.8	29.4	0.0	11.8	0.0	4	1	0	0	0	0	0	0	0	0.0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	1.0	-0.668	26.3	0.996	185.824
