MW	Sv	Se	Mi	nAT	nSK	nBT	nBM	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nS	nCL	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	nCIC	nR03	nR04	nR05	nR06	nR07	ARR	nCp	nCs	nCt	nCq	nCrs	nCrt	nCrq	nCar	nCbH	nCb-	nCconj	nR=Cp	nR=Cs	nR=Ct	nR#C-	nRCOOH	nRCOOR	nArCOOR	nRCHO	nArCHO	nRCO	nArCO	nArNH2	nArNHR	nRCN	nArNO2	nROH	nArOH	nOHp	nOHs	nOHt	nROR	nArOR	nSH	nOxiranes	nOxolanes	nFuranes	nPyridines	nHDon	nHAcc	Uc	Ui	Hy	TPSA(Tot)	MLOGP	SAtot
122.18	11.349	18.745	1.12	19	9	19	6	1	0	0	6	10	8	0	1	0	0	0	1	0	52.6	42.1	0.0	5.3	0.0	2	6	0	1	0	0	0	1	0	0.667	1	1	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	2.807	2.0	-0.213	20.23	1.925	208.015
120.16	10.822	16.862	1.11	17	9	17	7	1	1	0	6	8	8	0	1	0	0	0	1	0	47.1	47.1	0.0	5.9	0.0	1	7	0	1	0	0	0	1	0	0.667	1	0	0	0	0	0	0	6	5	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.0	2.322	-0.848	17.07	2.102	183.839
123.12	9.505	14.524	1.125	14	9	14	8	1	2	0	6	5	6	1	2	0	0	0	3	0	35.7	42.9	7.1	14.3	0.0	0	6	0	1	0	0	0	1	0	0.667	0	0	0	0	0	0	0	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.17	2.585	-0.636	45.82	1.887	165.41
152.26	14.929	26.396	1.131	27	11	27	2	1	2	0	0	16	10	0	1	0	0	0	1	0	59.3	37.0	0.0	3.7	0.0	6	4	0	1	0	0	0	1	0	0.0	2	3	1	0	3	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1.585	1.585	-0.294	20.23	2.25	273.584
150.19	13.064	21.073	1.119	21	11	21	7	2	1	0	6	10	9	0	2	0	0	0	2	0	47.6	42.9	0.0	9.5	0.0	2	7	0	1	0	0	0	1	0	0.545	1	0	0	0	0	0	0	6	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.0	2.322	-0.79	26.3	2.351	225.032
140.3	15.268	28.836	1.138	30	10	30	0	1	0	0	0	20	10	0	0	0	0	0	0	0	66.7	33.3	0.0	0.0	0.0	10	0	0	1	0	0	0	1	0	0.0	3	4	3	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.96	0.0	4.431	272.036
136.26	14.214	25.069	1.128	26	10	26	2	1	2	0	0	16	10	0	0	0	0	0	0	0	61.5	38.5	0.0	0.0	0.0	6	4	0	1	0	0	0	1	0	0.0	3	1	2	0	1	1	0	0	0	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585	1.585	-0.96	0.0	3.267	248.962
136.26	14.214	25.069	1.128	26	10	26	2	1	2	0	0	16	10	0	0	0	0	0	0	0	61.5	38.5	0.0	0.0	0.0	6	4	0	1	0	0	0	1	0	0.0	3	2	1	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585	1.585	-0.96	0.0	3.267	245.206
136.26	14.214	25.069	1.128	26	10	26	2	1	2	0	0	16	10	0	0	0	0	0	0	0	61.5	38.5	0.0	0.0	0.0	6	4	0	1	0	0	0	1	0	0.0	3	2	1	0	2	0	0	0	0	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585	1.585	-0.96	0.0	3.267	245.206
134.24	13.688	23.185	1.121	24	10	24	6	1	0	0	6	14	10	0	0	0	0	0	0	0	58.3	41.7	0.0	0.0	0.0	4	6	0	1	0	0	0	1	0	0.6	3	0	1	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.807	2.0	-0.96	0.0	3.562	235.547
