%
% ARFF data file, generated by KNIME
%
% Date: Mon Dec 05 16:10:13 BRST 2016
% User: guillaume
%

@RELATION DataTable
@ATTRIBUTE MW	REAL
@ATTRIBUTE Sv	REAL
@ATTRIBUTE Se	REAL
@ATTRIBUTE Mi	REAL
@ATTRIBUTE nAT	INTEGER
@ATTRIBUTE nSK	INTEGER
@ATTRIBUTE nBT	INTEGER
@ATTRIBUTE nBM	INTEGER
@ATTRIBUTE RBN	INTEGER
@ATTRIBUTE nDB	INTEGER
@ATTRIBUTE nTB	INTEGER
@ATTRIBUTE nAB	INTEGER
@ATTRIBUTE nH	INTEGER
@ATTRIBUTE nC	INTEGER
@ATTRIBUTE nN	INTEGER
@ATTRIBUTE nO	INTEGER
@ATTRIBUTE nS	INTEGER
@ATTRIBUTE nCL	INTEGER
@ATTRIBUTE nHM	INTEGER
@ATTRIBUTE nHet	INTEGER
@ATTRIBUTE nX	INTEGER
@ATTRIBUTE H_percent	REAL
@ATTRIBUTE C_percent	REAL
@ATTRIBUTE N_percent	REAL
@ATTRIBUTE O_percent	REAL
@ATTRIBUTE X_percent	REAL
@ATTRIBUTE nCsp3	INTEGER
@ATTRIBUTE nCsp2	INTEGER
@ATTRIBUTE nCsp	INTEGER
@ATTRIBUTE nCIC	INTEGER
@ATTRIBUTE nR03	INTEGER
@ATTRIBUTE nR04	INTEGER
@ATTRIBUTE nR05	INTEGER
@ATTRIBUTE nR06	INTEGER
@ATTRIBUTE nR07	INTEGER
@ATTRIBUTE ARR	REAL
@ATTRIBUTE nCp	INTEGER
@ATTRIBUTE nCs	INTEGER
@ATTRIBUTE nCt	INTEGER
@ATTRIBUTE nCq	INTEGER
@ATTRIBUTE nCrs	INTEGER
@ATTRIBUTE nCrt	INTEGER
@ATTRIBUTE nCrq	INTEGER
@ATTRIBUTE nCar	INTEGER
@ATTRIBUTE nCbH	INTEGER
@ATTRIBUTE nCb-	INTEGER
@ATTRIBUTE nCconj	INTEGER
@ATTRIBUTE nR=Cp	INTEGER
@ATTRIBUTE nR=Cs	INTEGER
@ATTRIBUTE nR=Ct	INTEGER
@ATTRIBUTE nR	INTEGER
@ATTRIBUTE Col51	INTEGER
@ATTRIBUTE Col52	INTEGER
@ATTRIBUTE Col53	INTEGER
@ATTRIBUTE Col54	INTEGER
@ATTRIBUTE Col55	INTEGER
@ATTRIBUTE Col56	INTEGER
@ATTRIBUTE Col57	INTEGER
@ATTRIBUTE Col58	INTEGER
@ATTRIBUTE Col59	INTEGER
@ATTRIBUTE Col60	INTEGER
@ATTRIBUTE Col61	INTEGER
@ATTRIBUTE Col62	INTEGER
@ATTRIBUTE Col63	INTEGER
@ATTRIBUTE Col64	INTEGER
@ATTRIBUTE Col65	INTEGER
@ATTRIBUTE Col66	INTEGER
@ATTRIBUTE Col67	INTEGER
@ATTRIBUTE Col68	INTEGER
@ATTRIBUTE Col69	INTEGER
@ATTRIBUTE Col70	INTEGER
@ATTRIBUTE Col71	INTEGER
@ATTRIBUTE Col72	INTEGER
@ATTRIBUTE Col73	INTEGER
@ATTRIBUTE Col74	INTEGER
@ATTRIBUTE Col75	INTEGER
@ATTRIBUTE Col76	REAL
@ATTRIBUTE Col77	REAL
@ATTRIBUTE Col78	REAL
@ATTRIBUTE Col79	REAL
@ATTRIBUTE Col80	REAL
@ATTRIBUTE Col81	REAL
@ATTRIBUTE musk	{0,1}

@DATA
148.22,13.876,22.629,1.117,23,11,23,7,2,1,0,6,12,10,0,1,0,0,0,1,0,52.2,43.5,0.0,4.3,0.0,3,7,0,1,0,0,0,1,0,0.545,2,0,1,0,0,0,0,6,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.322,-0.877,17.07,2.723,239.749,0
150.19,13.064,21.073,1.119,21,11,21,7,2,1,0,6,10,9,0,2,0,0,0,2,0,47.6,42.9,0.0,9.5,0.0,1,8,0,1,0,0,0,1,0,0.545,0,0,0,0,0,0,0,6,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,3.0,2.322,-0.206,29.46,1.807,232.607,0
108.15,9.822,15.862,1.117,16,8,16,6,0,0,0,6,8,7,0,1,0,0,0,1,0,50.0,43.8,0.0,6.3,0.0,1,6,0,1,0,0,0,1,0,0.75,1,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.807,2.0,-0.158,20.23,1.859,174.997,0
426.5,34.839,63.825,1.144,63,28,63,2,12,2,0,0,35,18,0,9,0,0,1,10,0,55.6,28.6,0.0,14.3,0.0,16,2,0,1,0,0,0,1,0,0.0,4,9,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,1,0,0,0,0,0,0,5,9,1.585,1.585,2.573,155.72,0.856,665.119,0
144.24,13.644,25.723,1.144,26,10,25,1,6,1,0,0,16,8,0,2,0,0,0,2,0,61.5,30.8,0.0,7.7,0.0,7,1,0,0,0,0,0,0,0,0.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,1.0,-0.161,37.3,2.972,269.337,0
128.24,12.929,24.396,1.141,25,9,24,1,6,1,0,0,16,8,0,1,0,0,0,1,0,64.0,32.0,0.0,4.0,0.0,7,1,0,0,0,0,0,0,0,0.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,-0.848,17.07,3.041,248.939,0
124.15,10.537,17.189,1.122,17,9,17,6,1,0,0,6,8,7,0,2,0,0,0,2,0,47.1,41.2,0.0,11.8,0.0,1,6,0,1,0,0,0,1,0,0.667,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,2.807,2.0,-0.107,29.46,1.246,190.112,0
168.2,14.822,20.862,1.089,21,13,23,15,0,0,0,15,8,12,0,1,0,0,0,1,0,38.1,57.1,0.0,4.8,0.0,0,12,0,3,0,0,1,2,0,1.0,0,0,0,0,0,0,0,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0,3.087,-0.897,13.14,2.859,194.304,0
86.1,7.01,12.305,1.139,12,6,11,2,1,2,0,0,6,4,0,2,0,0,0,2,0,50.0,33.3,0.0,16.7,0.0,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.585,1.585,-0.614,34.14,-0.333,148.834,0
148.17,12.537,19.189,1.109,19,11,20,7,0,1,0,6,8,9,0,2,0,0,0,2,0,42.1,47.4,0.0,10.5,0.0,2,7,0,2,0,0,0,2,0,0.5,0,2,0,0,2,0,0,6,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0,2.322,-0.79,26.3,1.959,188.908,0
46.08,4.295,8.978,1.162,9,3,8,0,0,0,0,0,6,2,0,1,0,0,0,1,0,66.7,22.2,0.0,11.1,0.0,2,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.638,20.23,-0.172,110.364,0
27.03,2.021,3.102,1.166,3,2,2,1,0,0,1,0,1,1,1,0,0,0,0,1,0,33.3,33.3,33.3,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.585,-0.315,23.79,-0.959,65.723,0
110.12,9.01,14.305,1.119,14,8,14,6,0,0,0,6,6,6,0,2,0,0,0,2,0,42.9,42.9,0.0,14.3,0.0,0,6,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2.807,2.0,0.846,40.46,0.893,170.356,0
117.16,10.602,15.753,1.109,16,9,17,10,0,0,0,10,7,8,1,0,0,0,0,1,0,43.8,50.0,6.3,0.0,0.0,0,8,0,2,0,0,1,1,0,1.0,0,0,0,0,0,0,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.459,2.585,-0.213,15.79,1.834,148.558,0
32.05,2.768,6.095,1.173,6,2,5,0,0,0,0,0,4,1,0,1,0,0,0,1,0,66.7,16.7,0.0,16.7,0.0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.262,20.23,-0.814,82.598,0
128.18,12.107,17.534,1.092,18,10,19,11,0,0,0,11,8,10,0,0,0,0,0,0,0,44.4,55.6,0.0,0.0,0.0,0,10,0,2,0,0,0,2,0,1.0,0,0,0,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.585,2.7,-0.96,0.0,3.386,175.125,0
130.26,13.456,26.28,1.146,27,9,26,0,6,0,0,0,18,8,0,1,0,0,0,1,0,66.7,29.6,0.0,3.7,0.0,8,0,0,0,0,0,0,0,0,0.0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,-0.213,20.23,3.186,266.824,0
139.12,10.219,15.851,1.13,15,10,15,8,1,2,0,6,5,6,1,3,0,0,0,4,0,33.3,40.0,6.7,20.0,0.0,0,6,0,1,0,0,0,1,0,0.6,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3.17,2.585,0.031,66.05,1.348,186.846,0
240.48,25.144,47.465,1.14,49,17,48,1,14,1,0,0,32,16,0,1,0,0,0,1,0,65.3,32.7,0.0,2.0,0.0,15,1,0,0,0,0,0,0,0,0.0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,-0.923,17.07,5.275,457.553,0
120.16,10.822,16.862,1.11,17,9,17,7,2,1,0,6,8,8,0,1,0,0,0,1,0,47.1,47.1,0.0,5.9,0.0,1,7,0,1,0,0,0,1,0,0.667,0,1,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.322,-0.848,17.07,1.834,183.839,0
136.16,11.537,18.189,1.116,18,10,18,7,2,1,0,6,8,8,0,2,0,0,0,2,0,44.4,44.4,0.0,11.1,0.0,1,7,0,1,0,0,0,1,0,0.6,0,1,0,0,0,0,0,6,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3.0,2.322,-0.161,37.3,1.766,204.237,0
74.09,6.01,11.305,1.151,11,5,10,1,1,1,0,0,6,3,0,2,0,0,0,2,0,54.5,27.3,0.0,18.2,0.0,2,1,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,1.0,0.312,37.3,0.133,138.953,0
79.11,7.075,10.869,1.121,11,6,11,6,0,0,0,6,5,5,1,0,0,0,0,1,0,45.5,45.5,9.1,0.0,0.0,0,5,0,1,0,0,0,1,0,1.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.807,2.0,-0.767,12.89,0.468,122.165,0
88.07,6.198,10.749,1.146,10,6,9,2,1,2,0,0,4,3,0,3,0,0,0,3,0,40.0,30.0,0.0,30.0,0.0,1,2,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1.585,1.585,0.311,54.37,-0.81,143.155,0
62.15,4.768,8.727,1.13,9,3,8,0,0,0,0,0,6,2,0,0,1,0,1,1,0,66.7,22.2,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.528,25.3,0.845,117.227,0
92.13,5.67,9.498,1.13,9,5,8,1,1,1,0,0,4,2,0,2,1,0,1,3,0,44.4,22.2,0.0,22.2,0.0,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1.0,1.0,1.59,76.1,-0.386,142.562,0
152.16,12.252,19.516,1.12,19,11,19,7,2,1,0,6,8,8,0,3,0,0,0,3,0,42.1,42.1,0.0,15.8,0.0,1,7,0,1,0,0,0,1,0,0.545,0,0,0,0,0,0,0,6,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,3.0,2.322,-0.119,46.53,0.922,220.391,0
156.3,15.983,30.163,1.141,31,11,31,0,1,0,0,0,20,10,0,1,0,0,0,1,0,64.5,32.3,0.0,3.2,0.0,10,0,0,1,0,0,0,1,0,0.0,3,4,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0,-0.294,20.23,2.502,300.413,0
166.19,13.778,22.4,1.123,22,12,22,7,2,1,0,6,10,9,0,3,0,0,0,3,0,45.5,40.9,0.0,13.6,0.0,2,7,0,1,0,0,0,1,0,0.5,1,0,0,0,0,0,0,6,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,3.0,2.322,-0.164,46.53,1.239,246.468,0
212.26,18.59,27.956,1.104,28,16,29,13,4,1,0,12,12,14,0,2,0,0,0,2,0,42.9,50.0,0.0,7.1,0.0,1,13,0,2,0,0,0,2,0,0.706,0,0,0,0,0,0,0,12,10,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.807,3.0,-0.856,26.3,3.514,290.315,0
149.23,11.789,16.829,1.098,17,10,17,8,2,2,0,6,7,8,1,0,1,0,1,2,0,41.2,47.1,5.9,0.0,0.0,1,6,1,1,0,0,0,1,0,0.6,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.17,2.585,-0.768,44.45,3.33,210.994,0
242.5,25.67,49.349,1.143,51,17,50,0,14,0,0,0,34,16,0,1,0,0,0,1,0,66.7,31.4,0.0,2.0,0.0,16,0,0,0,0,0,0,0,0,0.0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,-0.429,20.23,5.42,475.438,0
156.62,12.176,19.069,1.117,19,10,19,6,0,0,0,6,9,8,0,1,0,1,1,2,1,47.4,42.1,0.0,5.3,5.3,2,6,0,1,0,0,0,1,0,0.6,2,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.807,2.0,-0.161,20.23,2.778,222.475,0
154.28,15.456,28.28,1.136,29,11,30,0,0,0,0,0,18,10,0,1,0,0,0,1,0,62.1,34.5,0.0,3.4,0.0,10,0,0,2,0,0,0,3,0,0.0,3,4,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,-0.877,9.23,2.502,259.493,0
108.15,9.822,15.862,1.117,16,8,16,6,0,0,0,6,8,7,0,1,0,0,0,1,0,50.0,43.8,0.0,6.3,0.0,1,6,0,1,0,0,0,1,0,0.75,1,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.807,2.0,-0.158,20.23,1.859,174.997,0
172.3,16.698,31.491,1.143,32,12,31,1,8,1,0,0,20,10,0,2,0,0,0,2,0,62.5,31.3,0.0,6.3,0.0,9,1,0,0,0,0,0,0,0,0.0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,1.0,-0.244,37.3,3.593,321.491,0
182.23,16.349,23.745,1.095,24,14,25,13,2,1,0,12,10,13,0,1,0,0,0,1,0,41.7,54.2,0.0,4.2,0.0,0,13,0,2,0,0,0,2,0,0.8,0,0,0,0,0,0,0,12,10,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.807,3.0,-0.905,17.07,3.587,249.123,0
74.14,7.349,14.745,1.152,15,5,14,0,2,0,0,0,10,4,0,1,0,0,0,1,0,66.7,26.7,0.0,6.7,0.0,4,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,-0.719,9.23,0.8,155.546,0
164.22,14.59,23.956,1.121,24,12,24,7,3,1,0,6,12,10,0,2,0,0,0,2,0,50.0,41.7,0.0,8.3,0.0,2,8,0,1,0,0,0,1,0,0.5,0,1,0,0,0,0,0,6,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,3.0,2.322,-0.244,29.46,2.11,258.684,0
60.11,5.822,11.862,1.156,12,4,11,0,0,0,0,0,8,3,0,1,0,0,0,1,0,66.7,25.0,0.0,8.3,0.0,3,0,0,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.323,20.23,0.347,142.731,0
200.36,19.751,37.258,1.142,38,14,37,1,10,1,0,0,24,12,0,2,0,0,0,2,0,63.2,31.6,0.0,5.3,0.0,11,1,0,0,0,0,0,0,0,0.0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,1.0,-0.305,37.3,4.165,373.644,0
152.16,12.252,19.516,1.12,19,11,19,7,2,1,0,6,8,8,0,3,0,0,0,3,0,42.1,42.1,0.0,15.8,0.0,1,7,0,1,0,0,0,1,0,0.545,0,0,0,0,0,0,0,6,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3.0,2.322,-0.119,46.53,1.977,220.391,0
192.23,16.305,26.284,1.12,26,14,27,7,3,1,0,6,12,11,0,3,0,0,0,3,0,46.2,42.3,0.0,11.5,0.0,3,8,0,2,0,0,1,1,0,0.4,0,1,0,0,0,0,0,6,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3.0,2.322,-0.766,27.69,1.848,257.432,0
